descricao;ano_inicial;ano_final;anos_distintos;preco_inicial;preco_final;variacao_nominal_pct;ipca_periodo_pct;variacao_real_pct;diagnostico
PINO ELASTICO P/ M.M E C.A DABI;2022;2024;3;14.1;79.6;464.54;9.68;414.93;⚠️ Pressão de demanda — subiu acima do IPCA
AMENDOIM DESCASCADO;2015;2024;6;2.3;18.61;709.13;58.06;411.74;⚠️ Pressão de demanda — subiu acima do IPCA
REQUEIJÃO;2018;2023;4;2.7;18.35;579.63;32.8;411.34;⚠️ Pressão de demanda — subiu acima do IPCA
TESOURA MÉDIA;2018;2021;4;1.3;8.0;515.38;19.99;410.43;⚠️ Pressão de demanda — subiu acima do IPCA
CX LUZ 2X4 (PVC);2015;2021;6;0.3;2.08;593.33;36.22;410.0;⚠️ Pressão de demanda — subiu acima do IPCA
PINCEL PARA QUADRO BRANCO RECARREGÁVEL;2016;2022;5;1.41;9.6;580.85;35.58;400.75;⚠️ Pressão de demanda — subiu acima do IPCA
MEBENDAZOL 100 MG;2016;2019;3;0.04;0.23;497.69;11.41;400.0;⚠️ Pressão de demanda — subiu acima do IPCA
COPO FILTRO DE AR JET SONIC;2022;2025;4;74.2;423.7;471.0;14.35;399.36;⚠️ Pressão de demanda — subiu acima do IPCA
REFORÇADOR DE MASSA;2015;2025;8;7.2;59.0;719.44;64.79;397.22;⚠️ Pressão de demanda — subiu acima do IPCA
PERFIL TIPO U (AL-25) PARA VIDROS;2021;2024;3;46.59;267.65;474.5;16.03;395.12;⚠️ Pressão de demanda — subiu acima do IPCA
DVD-R	4,7 GB/ 16X;2016;2022;3;0.72;4.83;570.83;35.58;392.65;⚠️ Pressão de demanda — subiu acima do IPCA
CONDIMENTO COLORÍFÍCO EM PÓ;2015;2021;7;0.67;4.5;571.64;36.22;392.54;⚠️ Pressão de demanda — subiu acima do IPCA
SELO DE SEGURANÇA;2022;2024;3;15.83;83.6;428.09;9.68;381.26;⚠️ Pressão de demanda — subiu acima do IPCA
OLEO LUBRIFICANTE;2018;2020;3;17.89;93.5;422.64;9.02;379.31;⚠️ Pressão de demanda — subiu acima do IPCA
PAPEL TOALHA INTERFOLHADO 20X21,5CM;2020;2025;5;8.26;51.65;525.3;33.14;369.87;⚠️ Pressão de demanda — subiu acima do IPCA
MANGUEIRA PRETA 3/4 X 1,5MM;2015;2021;6;0.4;2.55;537.5;36.22;367.5;⚠️ Pressão de demanda — subiu acima do IPCA
LIMPA PNEUS COM SILICONE EMBALAGEM 5 LIT.;2017;2024;3;22.85;152.15;565.86;44.44;361.02;⚠️ Pressão de demanda — subiu acima do IPCA
BICARBONATO DE SÓDIO.;2018;2024;3;2.27;14.45;536.56;39.22;357.0;⚠️ Pressão de demanda — subiu acima do IPCA
MILHO EM CONSERVA LATA DE 2 KG;2018;2023;4;9.27;55.32;496.76;32.8;349.08;⚠️ Pressão de demanda — subiu acima do IPCA
FÓRMULA INFANTIL DE SEGUIMENTO, A BASE DE PROTEÍNAS ISOLADA;2016;2023;4;11.25;71.3;533.78;41.85;346.98;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO SOLD. 32MM COM BOLSA ,BARRAS DE 6M EM PVC;2015;2021;6;4.64;28.0;503.45;36.22;342.89;⚠️ Pressão de demanda — subiu acima do IPCA
VALSARTANA 160MG CPR;2016;2019;3;0.33;1.6;384.85;11.41;335.48;⚠️ Pressão de demanda — subiu acima do IPCA
CHEVROLET TRACKER (2020 A 2023) LT 1.0 12V TURBO FLEX 2022;2022;2024;3;18.87;90.0;376.95;9.68;334.99;⚠️ Pressão de demanda — subiu acima do IPCA
MICROFONE SEM FIO;2016;2021;3;58.56;325.0;454.99;28.16;333.07;⚠️ Pressão de demanda — subiu acima do IPCA
DOCE DE BANANA;2015;2025;9;2.38;16.9;610.08;64.79;330.88;⚠️ Pressão de demanda — subiu acima do IPCA
IVERMECTINA 6MG;2016;2020;4;0.41;2.08;407.29;16.45;330.77;⚠️ Pressão de demanda — subiu acima do IPCA
BOMBOM EMBALAGEM DE 1 KG;2022;2024;3;10.9;51.06;368.44;9.68;327.31;⚠️ Pressão de demanda — subiu acima do IPCA
IMPRESSÃO COLORIDA DIGITAL TAMANHO A3;2021;2023;3;1.11;5.2;368.47;10.68;325.93;⚠️ Pressão de demanda — subiu acima do IPCA
PILHAS DE MERCÚRIO, CR 2032, 3V;2016;2024;6;0.88;5.5;525.0;48.71;319.28;⚠️ Pressão de demanda — subiu acima do IPCA
CX LUZ 4X4 (PVC) SEXTAVADA DUPLA;2015;2021;6;0.98;5.58;469.39;36.22;318.37;⚠️ Pressão de demanda — subiu acima do IPCA
FITA ISOLANTE ROLO COM 20M.;2015;2021;6;1.43;8.0;459.44;36.22;310.49;⚠️ Pressão de demanda — subiu acima do IPCA
PATCH CORD 2,5M CAT 5E;2015;2021;6;3.77;21.0;457.03;36.22;309.02;⚠️ Pressão de demanda — subiu acima do IPCA
DISPENSER PARA PAPEL TOALHA.;2016;2020;4;31.9;149.9;369.91;16.45;303.57;⚠️ Pressão de demanda — subiu acima do IPCA
DISJUNTOR TERMOMAGNÉTICO, MONOFÁSICOCERTIFICADO CONFORME NOR;2015;2017;3;8.81;38.9;341.54;9.43;303.52;⚠️ Pressão de demanda — subiu acima do IPCA
AMINOFILINA 24MG/ML, INJETÁVEL, AMPOLA 10ML.;2019;2024;4;0.86;4.62;437.15;33.47;301.37;⚠️ Pressão de demanda — subiu acima do IPCA
TUBO SOLD. 40MM COM BOLSA ,BARRAS DE 6M EM PVC;2015;2021;6;6.48;35.36;445.68;36.22;300.62;⚠️ Pressão de demanda — subiu acima do IPCA
CONFECÇÃO DE FOLDER, 4X4 CORES, PAPEL COUCHE 180GR. TAM A4.;2020;2024;3;0.2;1.01;405.0;27.7;300.0;⚠️ Pressão de demanda — subiu acima do IPCA
PRESCRIÇÃO DE ÓCULOS;2016;2022;5;1.3;7.0;438.46;35.58;298.36;⚠️ Pressão de demanda — subiu acima do IPCA
CAMAS EMPILHÁVEIS;2016;2023;4;109.8;620.0;464.66;41.85;298.08;⚠️ Pressão de demanda — subiu acima do IPCA
LONA PLASTICA PRETA;2015;2021;6;0.35;1.9;442.86;36.22;297.14;⚠️ Pressão de demanda — subiu acima do IPCA
CORREIA;2017;2019;3;19.32;82.5;327.13;8.22;294.73;⚠️ Pressão de demanda — subiu acima do IPCA
MANGUEIRA PRETA 1/2 X 1,5MM;2015;2021;6;0.29;1.55;434.48;36.22;293.1;⚠️ Pressão de demanda — subiu acima do IPCA
HYUNDAI CRETA (2020 A 2022) ACTION AUT 1.6 16V FLEX 2021;2022;2024;3;18.87;81.0;329.25;9.68;291.52;⚠️ Pressão de demanda — subiu acima do IPCA
CABO FLEXIVEL 1,5MM (AZUL);2018;2020;3;0.4;1.7;325.0;9.02;291.43;⚠️ Pressão de demanda — subiu acima do IPCA
CABO FLEXIVEL 1,5MM (BRANCO);2018;2020;3;0.4;1.7;325.0;9.02;291.43;⚠️ Pressão de demanda — subiu acima do IPCA
CABO FLEXIVEL 1,5MM (PRETO);2018;2020;3;0.4;1.7;325.0;9.02;291.43;⚠️ Pressão de demanda — subiu acima do IPCA
PCI CADEIRA SYNCRUS G1 / G2 NEW;2021;2024;4;417.09;1893.0;353.86;16.03;291.15;⚠️ Pressão de demanda — subiu acima do IPCA
GRAMPEADOR DE MESA PEQUENO;2018;2021;4;5.78;27.0;367.13;19.99;289.39;⚠️ Pressão de demanda — subiu acima do IPCA
CIRCUITO ELETRONICO DE POTENCIA VCA - CLASS;2022;2024;3;236.61;1010.0;326.86;9.68;289.18;⚠️ Pressão de demanda — subiu acima do IPCA
PCI PAINEL JET SONIC BP;2021;2025;5;268.13;1261.9;370.63;20.97;289.03;⚠️ Pressão de demanda — subiu acima do IPCA
CHEVROLET ONIX (2020 A 2023) MEC 1.0 12V FLEX 2021;2022;2024;3;18.53;79.0;326.34;9.68;288.65;⚠️ Pressão de demanda — subiu acima do IPCA
TOYOTA COROLLA XEI 2.0 FLEX (2018 - 2022);2017;2022;4;12.0;61.0;408.33;31.69;285.87;⚠️ Pressão de demanda — subiu acima do IPCA
